round(summary(stage1lm)$coefficients[, 1], digits = 2),round(summary(stage1lm)$coefficients[, 2], digits = 2),test2[varnames, ]
-1.09,0.41,NA
0.77,0.1,0.16
0.38,0.13,0.07
0.52,0.13,0.1
-0.69,0.2,-0.15
-0.97,0.2,-0.21
-1.42,0.24,-0.29
0.16,0.11,0.03
0.2,0.17,0.04
0.1,0.12,0.02
0.08,0.23,0.02
-0.05,0.33,-0.01
0.48,0.31,0.09
0.96,0.33,0.2
0.92,0.36,0.19
0.29,0.32,0.05
-0.32,0.12,-0.06
-0.6,0.22,-0.11
-0.25,0.18,-0.05
-0.03,0.16,-0.01
-0.04,0.17,-0.01
-0.02,0.18,0
-0.32,0.18,-0.06
0.07,0.14,0.01
-0.32,0.32,-0.06
-0.54,0.23,-0.1
0.14,0.21,0.03
0.37,0.21,0.08
0.34,0.22,0.07
0.1,0.58,0.02
