round(summary(stage4lm)$coefficients[, 1], digits = 2),round(summary(stage4lm)$coefficients[, 2], digits = 2),test2[varnames, ]
-2.01,0.51,NA
0.56,0.12,0.09
0.31,0.15,0.05
0.54,0.14,0.09
-0.45,0.21,-0.09
-0.94,0.22,-0.17
-1.39,0.27,-0.23
0.35,0.12,0.06
0.31,0.2,0.05
0.13,0.13,0.02
0.04,0.26,0.01
0.4,0.43,0.05
0.64,0.41,0.09
1.09,0.42,0.17
1.19,0.45,0.19
0.51,0.41,0.07
-0.29,0.14,-0.05
-0.89,0.27,-0.12
-0.52,0.22,-0.08
-0.07,0.18,-0.01
-0.11,0.19,-0.02
-0.02,0.19,0
-0.29,0.21,-0.05
-0.04,0.16,-0.01
-0.71,0.37,-0.1
-0.4,0.26,-0.06
0.21,0.25,0.03
0.33,0.24,0.05
0.25,0.25,0.04
-0.93,1.07,-0.11
